REQUERIMIENTOS NO FUNCIONALES     EVALUACIÓN
Documentación						  1
Organización						  0.75
Historial							  0.75


REQUERIMIENTOS FUNCIONALES        EVALUACIÓN
TDAs							      1
image								  1
bitmap?								  1
pixmap?				 			 	  1 
hexmap?				 				  1
compressed?							  1
flipH								  1
flipV								  1
crop								  1
imgRGB->imgHex						  1
histogram							  1
rotate90							  1
compress 							  1
edit								  1
invertColorBit						  1
invertColorRGB						  1
adjustChannel						  0
image->string					      0.75
depthLayers							  1
decompress							  1
